,text,likes,timestamp
104,"दिल्ली के अफसर, चपरासियों की Transfer-Posting देश के प्रधानमंत्री करेंगे?

Manipur में BJP सरकार है, वहां आग लगी है, Haryana-Gujarat में बेड़ा गर्क कर दिया।

ये काम में Compete नहीं कर सकते हमसे, इसलिए Kejriwal के काम रोको।

—CM @ArvindKejriwal

#DelhiServiceBill…",1612,08-07-2023
105,Over 14000 school children displaced due to ongoing situation in Manipur caused by ethnic violence: Education Ministry.,138,08-02-2023
106,Manipur Police files FIR against AR??!! 🤨🤨,2,08-08-2023
107,This is what the official version of the state government of Manipur would have recorded. Shades of 2002.,274,08-08-2023
108,"Is the Manipur violence a Hindu-Christian conflict? 

From the #Kuki_Zo tribal perspective -- most of whom are deeply devoted Christian -- it's never seen as a religious conflict because they don't harbour any anti-Hindu feelings. But, the Meitei community has been actively…",202,08-08-2023
109,"மாறிவிடும் தமிழகம். அனைவரும், படித்தவர்களாகவும் மாற்றுவதே இலக்கு

#JailerTickets Trending Movies TV Season #HardikPandya #SuryakumarYadav #TilakVarma Manipur #RaghavChadha #NoConfidenceMotion #Businessman4K #GunturKaaram #HBDSuperstarMaheshBabu #Don3 
facebook.com/100079315744957…",0,08-09-2023
110,".                       Quote 
Any govt is judged on five parameters 
National security
Economy 
Communal harmony 
Institutional autonomy
Foreign policy
The Modiji has failed on all accounts
The Northeast is a sensitive place 
And
Manipur shares an International border 
MANISH.T",0,08-09-2023
111,Orgs like #NAMTA must be blocked & banned. They spread poisonous disinformation in tribal areas where lack of education makes people vulnerable to manipulation & fear. World has seen this in the past between Hutus & Tutsis in Rwanda - where lies & propaganda fueled a genocide.…,240,08-02-2023
112,Aapko to Manipur me hona chahiye,0,08-09-2023
113,"Who is Terrorist is an Elephant Question?

A man (Kuki) defends his village and Land to protect his people, or Someone (Meetei) who carries sophisticated weapons in broad daylight and attacks the Village defender with the help of the Manipur Government.

It doesn't mean we (Kuki)…",434,08-08-2023
114,Thanks keep it up,0,08-09-2023
115,"I can say with unflinching confidence that the Indian government will break the back bone of the narcotics business in Manipur and people whether political, militants or foreign players looking for an alternate to Afghanistan will face the heat. Manipur will grow economically…",2782,08-08-2023
116,"India wants to know why PM Modi is silent on Manipur

#NoConfidenceMotion
#Manipur",8,08-08-2023
117,"The math is too complicated, no mere mortal can comprehend. Don't even think..! 🤯
#Kuki #PoppyLogic #Manipur #DownWithZalengam #DownWithKukiland",64,08-08-2023
118,"I have maintained my silence on #Manipur_Violence 

But a Kuki Woman narrative will hurt India globally

Kuki Tribe is a Christian Tribe migrated from Burma

They are intruders in our country, they started this violence

I will not fall for any propoganda & start abusing Modi 🙏🏻",157,08-08-2023
119,"It has been 3 Months down and no air of relief!
At this dire juncture, it is disheartening and rather shocking that an institute of national importance such as NIT
Manipur carelessly urged students to report for offline classes at the campus! (1/3)",28,08-08-2023
120,"The reason for that is that, while the tribal hill areas may comprise 90 % percent of the land of Manipur, only pockets of it are actually habitable by humans and fit for extensive economic activities. 

(Pic: Elevation Map of Manipur )",134,13-07-2023
121,"Why is only Manipur a No Fly Zone for the Prime Minister's plane? 

What is the compulsion of Modi Shah to retain the Chief Minister despite such a failure?",21,08-08-2023
122,"Watch my press conference 👇. I have elaborated extensively on how Cong has betrayed the North East, particularly in reference to the current situation in Manipur.",796,08-08-2023
